Card Name,Card Category,Card Type,"LearningCategory",Ranking Factor,Conversion Rate,Content Score,Spam Score,Special Effect,Card Quantity,Card Description
Provide FAQ,Tactic Card,Normal,Content Creation,0,1,3,0,,1,Provide FAQ to answer common questions by students
Link Bait,Tactic Card,Normal,Content Creation,0,0,2,0,,1,Content designed to attract attention and encourage visitors to link to the site
Update Content,Tactic Card,Normal,Content Creation,0,0,2,0,,1,Update the outdated content in your site.
A/B Testing,Tactic Card,Normal,Landing Page Optimization,0,4,3,0,,2,Test multiple web-page designs with users to maximize conversion
Call To Action,Tactic Card,Normal,Landing Page Optimization,0,3,3,0,,2,Provide instructions  to encourage visitors to take actions
Create Landing Page,Tactic Card,Normal,Landing Page Optimization,0,5,2,0,,2,Customized landing page better targets searchers from different locations
High Quality Images,Tactic Card,Normal,Landing Page Optimization,0,2,2,0,,2,Provide  high quality images to make the page more attractive
Improve Loading Speed,Tactic Card,Normal,Landing Page Optimization,0,3,1,0,,2,Eliminate unnecessary content to increase page loading speed
Simple Page Design,Tactic Card,Normal,Landing Page Optimization,0,2,1,0,,2,Provide clear and simple landing page  to get visitor to take actions directly
Buy High Quality Links,Tactic Card,Normal,Link Building,6,0,0,2,,1,Buy high quality backlinks to your site
Reciprocal Links,Tactic Card,Normal,Link Building,5,0,0,3,,1,Large scale linking on mutual agreement creates unnatural linking profile
Moderated Directory Submission,Tactic Card,Normal,Link Building,4,0,0,2,,1,Site submission to human-reviewed and trusted directory allow you to acquire very high quality.
Outbound Links,Tactic Card,Normal,Link Building,4,0,0,3,,1,Linking out to authoritative sites increase your site's authority and relevancy
Ask for Backlinks,Tactic Card,Normal,Link Building,3,0,0,1,,1,"Email friends, relatives, colleagues and partners to ask for backlinks"
Free Directory Submission,Tactic Card,Normal,Link Building,3,0,0,2,,1,Backlinks from free directory is considered low quality
Competitor Backlink Research,Tactic Card,Normal,Link Building,2,0,0,1,,1,Research competitor's backlinks and try to get them as well
Pay for Cheap Backlinks,Tactic Card,Normal,Link Building,3,0,0,4,,1,Pay for backlinks coming from low quality and spammy websites
Create Internal Links,Tactic Card,Normal,Link Building,2,0,0,1,,1,Internal linking within your site to pass authority to important pages
Free Online Tools,Tactic Card,Normal,Link Earning,4,1,1,0,Use when CS > 18,2,Provide free tools online like special calculator to earn backlinks
Infographics,Tactic Card,Normal,Link Earning,3,1,2,0,Use when CS > 13,2,Use image to represent data and ideas to attract sharing and earn backlinks
Social Media Button,Tactic Card,Normal,Link Earning,3,1,2,0,Use when CS > 15,2,Social media button allows your audience to easily share your content and earn backlinks
Look For Influencers,Tactic Card,Normal,Link Earning,6,1,1,0,Use when CS > 25,2,Influencers attract large number of followers to visit your website and earn backlinks
Domain Diversity,Tactic Card,Normal,Link Earning,7,0,1,0,Use when CS > 30,2,Earning backlinks from diverse sources is a sign of of an authoritative site
Broken Link Building,Tactic Card,Normal,Link Earning,5,1,2,0,Use when CS > 22,2,Contact authoritative websites with  broken links and recommends them to link to you
Optimum  Keyword Density,Tactic Card,Normal,On-page Optimization,1,0,3,0,,1,Include keywords occasionally and naturally in web pages
Research Audience's Language,Tactic Card,Normal,On-page optimization,1,0,2,0,,1,Research keyword used by audience and include in web-page
Location Specific Keywords,Tactic Card,Normal,On-page optimization,5,0,0,0,,1,Research for location specific keyword to better target searchers in different locations
Site-map Submission,Tactic Card,Normal,On-page Optimization,5,0,0,0,,1,Submit site-map to search engine facilitates the indexing of your website
Keyword in Title Tag,Tactic Card,Normal,On-page Optimization,4,0,1,0,,1,Keywords in Title  tags send strongest relevancy signals for search engines
Meta-Description,Tactic Card,Normal,On-page Optimization,4,0,0,0,,1,Compelling  search engine result snippet attracts searcher to visit your site and improves click-through rate
Responsive Design,Tactic Card,Normal,On-page Optimization,4,0,0,0,,1,Website which shrinks or grows according to screen size is mobile friendly
Search Engine Submission,Tactic Card,Normal,On-page Optimization,4,0,0,0,,1,Submit your site to search engine to make your site show up in search engine result pages
Keyword in H1 Tag,Tactic Card,Normal,On-page Optimization,4,0,0,0,,1,Keywords in H1  tags send strongest relevancy signals for search engines
Keyword Prominence,Tactic Card,Normal,On-page Optimization,3,0,0,0,,1,Keyword in the first 100-words of a page's content is more important in ranking
Related Keywords,Tactic Card,Normal,On-page Optimization,3,0,0,0,,1,Synonyms and  related terms help search engine figure out what your page is about.
Keyword in URL,Tactic Card,Normal,On-page Optimization,3,0,0,0,,1,Keyword rich URL  is a relevant signal to search engine
Local Domain Name,Tactic Card,Normal,On-page Optimization,3,0,0,0,,1,Search engine gives preference to sites with country-specific domain name extension.
Keyword in H2 Tag,Tactic Card,Normal,On-page Optimization,3,0,0,0,,1,Keywords in H2 and H3 tag sends a strong relevancy signal for search engines
Competitor  Research,Tactic Card,Normal,On-page optimization,2,0,0,0,,1,Research keywords used by competitors to generate keywords and content ideas
Keywords in Alt Tag,Tactic Card,Normal,On-page Optimization,2,0,0,0,,1,Keywords in Image's Alt tag help search engine understand what your image is about
Relevant Outbound Links,Tactic Card,Normal,On-page Optimization,2,0,0,0,,1,Content of the pages you link help search engine understand what your page is about
Reduce Image Size,Tactic Card,Normal,On-page optimization,2,0,0,0,,1,Optimize and resize and images to ensure quick loading time
Image Filename,Tactic Card,Normal,On-page Optimization,2,0,0,0,,1,Keywords in image filenames help search engine understand what your image is about
Canonical Tag,Tactic Card,Normal,On-page Optimization,2,0,0,0,,1,Help search engines understand the official version of duplicated contents in your site
Media Coverage,Tactic Card,Special,Content Creation,0,0,0,0,Draw 4 cards,1,Post a TV interview video at website to improve credibility and raise public awareness of your brand
Remove Irrelevant Keywords,Tactic Card,Special,Landing Page Optimization,0,0,0,-3,,2,Remove irrelevant keywords from page contents to avoid search engine penalty
Clean Up Backlinks,Tactic Card,Special,Link Building,0,0,0,-6,,2,Contact website owners to remove the low quality  backlinks to your site to avoid search engine penalty
Disavow Tool,Tactic Card,Special,Link Building,0,0,0,-9,,2,Ask search engines not to take account of low quality backlinks
Social  Sharing,Tactic Card,Special,Link Earning,0,0,0,0,"If CS > 15, gain 1 admission point immediately",2,Create social media posts to drive followers to the website and earn backlinks
Blogger Outreach,Tactic Card,Special,Link Earning,0,0,0,0,"If CS > 20, gain 2 admission point immediately",2,Ask bloggers with substantial followers  to write about you and link to your site
Viral Social Media Campaigns,Tactic Card,Special,Link Earning,0,0,0,0,If CS > 30 gain 3 admission point immediately,2,Launch viral social media campaigns to generate a large number of visitors to your website and earn backlinks
Charity Sponsorship,Tactic Card,Special,Link Earning,0,0,0,0,"Gain 1 RF for each 5 CS.e.g. you can get 5 RF if you have 27 CS.",1,Sponsor events for charity to earn backlink from their authoritative websites
Reorganize Page Structure,Tactic Card,Special,On-page Optimization,0,0,0,0,Discard all hand cards and draw 6 cards,1,Reorganize your website become more user friendly
 Powerful Server,Tactic Card,Special,On-page optimization,0,0,0,0,Draw 3 cards,1,Procurement of a powerful server to increase page loading speed
